web-scraper-order,web-scraper-start-url,title,location,employee_count,industries,context
"1643569177-3162","https://builtin.com/companies/type/hr-tech-companies?page=7","Mammoth HR","Portland, OR","79 Global Employees","HR Tech","We help employers across all 50 states stay up-to date on the HR landscape.
We keep HR simple by providing straightforward advice, subject matter
expertise, and a suite of digital tools so employers can confidently move
their organization forward."
"1643569197-3249","https://builtin.com/companies/type/hr-tech-companies?page=3","Guru","2 Offices","170 Global Employees","Artificial Intelligence
      
        HR Tech
      
        Information Technology
      
        Productivity
      
        Software","Our product powers the workplace of the future—and we are one of those workplaces. Guru is your workplace guide, providing a single source of truth for everything from your pricing structure to your PTO policy. Guru gives you what you need to know when you need to know it without the information overload.

We are a proven, fast-growing, best-in-class, diverse & distributed team where we work hard to make sure every employee finds purpose, enjoyment, and opportunities to reach their full potential. Our customers include Spotify, Shopify, and Better Mortgage. We believe in cultivating a welcoming, inclusive culture that encourages personal growth through working hard and having fun. As we enter the next exciting stage of expansion, we're searching for passionate individuals to join our growing team."
"1643569167-3120","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569181-3178","https://builtin.com/companies/type/hr-tech-companies?page=6","DAWAR CONSULTING INC","Newark, CA","11 Global Employees","Cloud
      
        Consulting
      
        HR Tech
      
        Information Technology","Dawar Consulting is Bay Area's IT Consulting & Staffing Services firm with expertise in delivering best in class workforce solutions for IT, Engineering, R&D, QA, Product Management, Sales, Accounting & Finance positions. 

Our Staffing service offerings – Contract Recruiting, Permanent Placement, Contingency Staffing, Recruiting Process Outsourcing, and Global Staffing; reflect our commitment to helping our clients meet their staffing needs both nationally and internationally.

Our Consulting service offerings - Consult, design, and implement SaaS/Cloud based solutions for HR/HCM, CRM, Spend Management, Procurement. SAP-GRC security, SSO Security, and SCM solutions. This reflects our commitment towards delivering industry standard tools and services from evaluation to post go-live support."
"1643569149-3019","https://builtin.com/companies/type/hr-tech-companies?page=14","CRS Reprocessing Services","Louisville, KY","null","HR Tech","CRS provides fluid reprocessing solutions offering human resources and services to optimize fluid reprocessing in manufacturing facilities."
"1643569149-3029","https://builtin.com/companies/type/hr-tech-companies?page=14","Traitify","Baltimore, Maryland","32 Global Employees","HR Tech
      
        Software","Traitify is a personality data company building the personality data genome for the employment marketplace."
"1643569177-3157","https://builtin.com/companies/type/hr-tech-companies?page=7","AmCheck","Phoenix, AZ","76 Global Employees","HR Tech","isolved HCM provides a full suite of flexible payroll services, including human resources and benefits."
"1643569172-3132","https://builtin.com/companies/type/hr-tech-companies?page=8","Backstitch","Kansas City, MO","16 Global Employees","HR Tech
      
        Software","Backstitch offers an employee engagement software platform designed for HR and internal communications teams."
"1643569164-3097","https://builtin.com/companies/type/hr-tech-companies?page=10","Edify","Portland, OR","null","HR Tech
      
        Software",""
"1643569186-3192","https://builtin.com/companies/type/hr-tech-companies?page=5","Careerlink","Omaha, NE","16 Global Employees","HR Tech
      
        Other","Careerlink is a national career recruitment and development site offering millions of job opportunities to job seekers across the US.

Our platform is where aspiring and established professionals get connected with employers and peers that can help them start and grow careers through unique job listings, networking opportunities, and career assessment tools.

Careerlink’s robust recruitment features also have been designed to match each company’s unique needs with qualified job seekers, including tools to assist in posting a position, building talent pools of passive job seekers, all the way through to hiring and retaining the right candidate with AI based software solutions. 

Careerlink.com is so much more than just a great place to post and apply for jobs. Since 1992, we have been making a difference, impacting lives and strengthening communities."
"1643569197-3246","https://builtin.com/companies/type/hr-tech-companies?page=3","WorkStep","Fully Remote","46 Global Employees","HR Tech","WorkStep is the leading software provider of workforce retention and hiring solutions for the supply chain industry. 

We are helping leading companies within e-commerce, manufacturing, retail, CPG, transportation, and logistics bolster their frontline and drive bottom-line growth.

Our mission is to make the supply chain a better place to work. We do this by helping supply chain companies make better-fit hires and improve their frontline workforce satisfaction and retention.

Additionally, we support supply chain workers who are looking for their next role or career - our talent network is the largest supply chain specific in the industry!"
"1643569206-3281","https://builtin.com/companies/type/hr-tech-companies?page=1","Happeo","New York, NY","107 Global Employees","Enterprise Web
      
        HR Tech
      
        Information Technology
      
        Social Media
      
        Software","Happeo is the community-powered employee communications platform that combines collaboration and social interaction with the targeted distribution of news – all in one solution. Our mission is to have a digital culture where happy employees lead the conversation, share information freely, and fuel business growth. 
We believe business success today depends entirely on talent and a company’s ability to communicate faster than the market changes. That’s the essence of a high-performing digital culture. We're not alone: large enterprises and fast-growing organizations like BMW, Givaudan, and Randstad Sourceright use Happeo to engage, align, and retain more than 300,000 employees worldwide.
In 2017, Happeo was recognized as one of Europe's most promising startups by the European Union. In 2019, The Next Web named Happeo one of Europe's hottest scale-ups. Happeo’s own talent is spread across locations, generations, and time zones, helping Happeo’s continued growth of 280% year on year."
"1643569152-3036","https://builtin.com/companies/type/hr-tech-companies?page=13","Labor Force","Houston, Texas","24 Global Employees","HR Tech","Labor Force® is an employment and staffing agency that offers clients solutions to temporary and temp-to-hire employment requirements."
"1643569167-3127","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569201-3261","https://builtin.com/companies/type/hr-tech-companies?page=2","Guild Education","2 Offices","1,247 Global Employees","Edtech
      
        HR Tech","Guild is a mission-led, female-founded and venture-funded company committed to expanding opportunity through education for America’s workforce. Guild partners with leading employers to build strategic education benefits programs for their employees, with a technology platform and a diverse academic network of the best schools for working adults."
"1643569172-3148","https://builtin.com/companies/type/hr-tech-companies?page=8","RedBrick Health","Minneapolis, MN","null","HR Tech",""
"1643569156-3056","https://builtin.com/companies/type/hr-tech-companies?page=12","Skoller","Nashville, TN","3 Global Employees","HR Tech","Skoller is a new way for students to keep track of assignments and find a job."
"1643569186-3209","https://builtin.com/companies/type/hr-tech-companies?page=5","Infotech Sourcing","3 Offices","51 Global Employees","HR Tech
      
        Information Technology
      
        Software","Infotech Sourcing is an IT services and staffing firm specializing in the delivery of human capital needs of start ups, SMB and Fortune 100 clients.

It is our mission to provide the nation's best staffing agency and executive search solution. We genuinely care about the people we serve! We attribute our high standards of personal service as the primary reason why we score such a high retention rate with our workers. Overall, we believe our dedication to our clients and consultants is what sets us apart.

We provide highly skilled and and qualified individuals and teams for mission critical projects within many diverse sectors with a specialized concentration in Financial Services, Healthcare, Information Technology and Retail sectors."
"1643569156-3057","https://builtin.com/companies/type/hr-tech-companies?page=12","Pangea.app","Providence, RI","140 Global Employees","Edtech
      
        HR Tech","Pangea.app is a platform that matches companies to students for freelance projects in marketing and graphic design."
"1643569177-3163","https://builtin.com/companies/type/hr-tech-companies?page=7","Eduson Academy","San Francisco, CA","64 Global Employees","AdTech
      
        Edtech
      
        HR Tech
      
        On-Demand
      
        Productivity",""
"1643569186-3211","https://builtin.com/companies/type/hr-tech-companies?page=5","Milliman","32 Offices","3,644 Global Employees","Consulting
      
        Healthtech
      
        HR Tech
      
        Insurance","Milliman is among the world’s largest independent actuarial and consulting firms. Founded in Seattle in 1947, Milliman has offices in key locations worldwide. Through consulting practices in employee benefits, healthcare, investment, life insurance and financial services, and property & casualty/general insurance, Milliman serves the full spectrum of business, financial, government, union, education, and nonprofit organizations. In addition to consulting actuaries, Milliman’s body of professionals includes numerous other specialists, ranging from clinicians to economists."
"1643569164-3100","https://builtin.com/companies/type/hr-tech-companies?page=10","Zizzl","Milwaukee, Wisconsin","14 Global Employees","HR Tech","zizzl is a full-service benefits brokerage firm that can integrate HR technology and payroll administration."
"1643569160-3086","https://builtin.com/companies/type/hr-tech-companies?page=11","Aspire","Washington, WA","4 Global Employees","HR Tech
      
        Software","Aspire is a comprehensive perk management software and unmatched customer service to help you build a better workplace."
"1643569197-3250","https://builtin.com/companies/type/hr-tech-companies?page=3","Kazoo","Fully Remote","100 Global Employees","HR Tech
      
        Software","Kazoo is an all-in-one Employee Experience Platform that brings together Real-time Recognition & Rewards, Continuous Performance Management and Employee Engagement Surveys in one powerful solution."
"1643569167-3129","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569192-3219","https://builtin.com/companies/type/hr-tech-companies?page=4","Sounding Board, Inc","Fully Remote","57 Global Employees","Consulting
      
        HR Tech
      
        Other
      
        Professional Services
      
        Software","From leading remote workforces, building productive teams, to improving diversity, equity, and inclusion, Sounding Board has virtual and scalable enterprise solutions that are urgently required to adapt to rapidly changing workplace environments. Our platform connects professionally trained leadership coaches to clients with a tech platform for personalized leadership development that is scalable, affordable and easily accessible."
"1643569160-3076","https://builtin.com/companies/type/hr-tech-companies?page=11","Student Connect","Meridian, Idaho","5 Global Employees","HR Tech
      
        Legal Tech","Student Connect helps evaluate and place entry-level legal talent by adopting a holistic approach based on actual performance feedback."
"1643569186-3195","https://builtin.com/companies/type/hr-tech-companies?page=5","AMN Healthcare","2 Offices","2,830 Global Employees","Healthtech
      
        HR Tech","AMN Healthcare is the leader and innovator in total talent solutions for healthcare organizations across the nation. The Company provides access to the most comprehensive network of quality healthcare professionals through its innovative recruitment strategies and breadth of career opportunities. With insights and expertise, AMN Healthcare helps providers optimize their workforce to successfully reduce complexity, increase efficiency and improve patient outcomes. AMN total talent solutions include managed services programs, clinical and interim healthcare leaders, temporary staffing, executive search solutions, vendor management systems, recruitment process outsourcing, predictive modeling, language interpretation services, revenue cycle solutions, credentialing and other services. Clients include acute-care hospitals, community health centers and clinics, physician practice groups, retail and urgent care centers, home health facilities, schools and many other healthcare settings. AMN Healthcare is committed to fostering and maintaining a diverse team that reflects the communities we serve. Our commitment to the inclusion of many different backgrounds, experiences and perspectives enables our innovation and leadership in the healthcare services industry."
"1643569206-3277","https://builtin.com/companies/type/hr-tech-companies?page=1","Instawork","2 Offices","250 Global Employees","eCommerce
      
        Food
      
        HR Tech
      
        Mobile
      
        Retail","Its digital marketplace connects thousands of businesses and more than one million workers, actively working to help bridge the labor demand/supply gap that is crippling so many businesses, as the country continues to emerge from the COVID-19 pandemic. Instawork helps businesses in food & beverage, hospitality, and warehouse/logistics industries fill temporary and permanent roles in more than 25 U.S. markets.

We have been fortunate to be funded by some of the greatest investors in Silicon Valley including: Benchmark (Bill Gurley), Y Combinator, Spark Capital, Google Ventures, Craft Ventures, and many more. Leveraging our accelerated growth, we will continue to expand throughout the U.S. and globally in order to revolutionize the labor market.

Instawork recently raised $60 million in Series C financing, bringing a total funding to $100 million. The new funding will allow Instawork to continue rapidly expanding into new markets, job categories, and industries, while also investing in more training and development initiatives to help hourly professionals advance their careers.

Our values help us craft impactful products and be extraordinary colleagues to each other:

Empathy, Trust, and Candor
Being empathetic helps build trust in our community and company, and fosters successful decision-making.

Always Be Learning
We learn eagerly, from different teams within and outside the company. Respectful debate makes our company stronger.

Act Like an Owner
We have a strong ownership mentality. Every person on the team has the potential to make a huge impact.

Bias for Action
We practice high-velocity decision-making, despite encountering ambiguity frequently."
"1643569201-3254","https://builtin.com/companies/type/hr-tech-companies?page=2","Built In","Chicago, IL","200 Global Employees","Consumer Web
      
        HR Tech","Built In is a home for people who see working in tech as a way of life: We help them live it with purpose. Millions of professionals rely on us to learn, network + carve out futures at companies they believe in. Headquartered in Chicago, we serve vibrant tech hubs across the U.S."
"1643569197-3251","https://builtin.com/companies/type/hr-tech-companies?page=3","TextUs","Fully Remote","35 Global Employees","Enterprise Web
      
        HR Tech
      
        Information Technology
      
        Software","TextUs is the leading business-class text messaging platform for real-time communication designed to dramatically improve how businesses communicate with their prospects, staff, and customers. With a 98% read rate and up to 40% response rates, TextUs supports businesses to truly engage with their stakeholders in real-time."
"1643569156-3061","https://builtin.com/companies/type/hr-tech-companies?page=12","SnapNurse","Fully Remote","null","Healthtech
      
        HR Tech",""
"1643569201-3268","https://builtin.com/companies/type/hr-tech-companies?page=2","Torch","San Francisco, CA","125 Global Employees","HR Tech
      
        Software","We are coaches, psychologists, entrepreneurs, and people managers who have seen firsthand the impact of thoughtful leadership. We’ve also seen the chaos that results from ill-equipped leaders at the helm.

This is why we exist – to build better leaders.

Torch's flexible platform combines both humans and technology to deliver digital learning and leadership development in a holistic way. We believe that business growth comes from personal growth."
"1643569197-3242","https://builtin.com/companies/type/hr-tech-companies?page=3","MainStreet","Fully Remote","150 Global Employees","Financial Services
      
        Fintech
      
        HR Tech
      
        Social Impact
      
        Software","We help startups and small businesses extend their runways by connecting them with government stimulus programs, tax credits, and hiring incentives. Whew, that’s a mouthful. In simpler terms, we help founders find cash they didn’t know they were owed.

Navigating government tax credits and incentives is no easy task. Founders and business owners rarely have the bandwidth, time, or resources to pursue these programs and as a result, billions of dollars are left on the table. 

That’s where we come in. We take the guesswork out of government and pass the cash savings onto small businesses. But before we dive into how it works, let’s talk about the team that makes it all happen. 

This isn’t our first rodeo. Our founders are ex-Google employees and successful tech startup founders. Doug Ludlow, co-founder and CEO, started MainStreet as a response to the massive impact that departing big business brought on his hometown. 

The small businesses that remained didn’t survive for long and the economy declined along with them. This is the unfortunate truth for towns across the U.S., where many small businesses lack resources and struggle to stay afloat.

At MainStreet, we want to be the small business lifeline that makes a long-standing impact on our economy. And we won’t stop until we’ve helped every small business. 

The IRS bookmarks $150B in annual tax credits and incentives for U.S. companies researching and developing new products (aka “R&D”). These incentives are impactful, but they’re also complex and time-consuming. Small business owners just don’t have the capacity to cut through the red tape and claim the cash they’re owed.

That’s where we come in. We plug directly into their payroll software to see what they’re owed across dozens of credits. We take the guesswork out of government and pass the savings back to our customers. The best part? The average venture-backed startup finds $51,040 on their first call with us."
"1643569167-3126","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569164-3110","https://builtin.com/companies/type/hr-tech-companies?page=10","G&A Partners","South Jordan, UT","6 Global Employees","HR Tech","As a leading PEO, we offer a full suite of HR solutions including payroll, benefits, consulting, recruiting, and much more to 10-500+ employee companies."
"1643569167-3122","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569206-3290","https://builtin.com/companies/type/hr-tech-companies?page=1","Jobcase, Inc.","Cambridge, MA","175 Global Employees","HR Tech
      
        Social Impact
      
        Social Media","Jobcase is a social media platform dedicated to empowering and advocating for the world’s workers. We develop technology to help people lead better, more meaningful work-lives – providing access to jobs, tools to take action, and a community for support. Jobcase is an affiliate of MIT’s Computer Science and Artificial Intelligence Lab, and collaborates with employers, nonprofits and government agencies to both improve, and diversify access to opportunity and participation in the workforce."
"1643569156-3055","https://builtin.com/companies/type/hr-tech-companies?page=12","Work Shield","Dallas, Texas","15 Global Employees","HR Tech","Work Shield is a full-service independent solution for reporting, investigating, and resolving harassment."
"1643569192-3227","https://builtin.com/companies/type/hr-tech-companies?page=4","O.C. Tanner","Salt Lake City, UT","1,300 Global Employees","HR Tech","O.C. Tanner develops employee recognition strategies and rewards programs that help companies appreciate people who do great work.

O.C. Tanner helps organizations inspire and appreciate great work. Thousands of clients globally use our cloud-based technology, tools, and awards to provide meaningful recognition for their employees. Learn more at www.octanner.com.
 
ABOUT OUR PRODUCTS:
Yearbook™ started a service award revolution. As the biggest innovation in service awards in 50 years, Yearbook has earned the right to be called a game-changer. Hundreds of thousands of recipients have loved the way Yearbook transforms service awards into unforgettable celebrations among friends at work. Check it out: http://www.octanner.com/products/celebrate-careers.
 
Our popular Numeral™ awards capture career stages in trophies people love. Available in clear acrylic or metallic versions, Numerals can be customized to complement your brand or companion Yearbook. Explore awards: http://www.octanner.com/why-choose-us/awards-strategy
 
When a person or team achieves outstanding results, big or small, it’s time to shine a spotlight on what they did and to reward their great work with an experience equal to their accomplishment. Our world-class performance recognition awards, programs, and fulfillment make it happen. Discover more about our performance and social platforms: http://www.octanner.com/products/performance-recognition
 
Connect with us on...
Twitter @octanner
Facebook www.facebook.com/octannercompany
Slideshare http://www.slideshare.net/octannercompany
Instagram http://instagram.com/octannercompany
YouTube http://www.youtube.com/user/octannercompany"
"1643569181-3174","https://builtin.com/companies/type/hr-tech-companies?page=6","Heidrick & Struggles","Chicago, IL","2,093 Global Employees","Consulting
      
        HR Tech","We Help Our Clients Change The World, One Leadership Team At A Time®.

Heidrick & Struggles International, Inc., (Nasdaq:HSII) serves the executive talent and leadership needs of the world's top organizations as the premier provider of leadership consulting, culture shaping and senior-level executive search services. Heidrick & Struggles pioneered the profession of executive search more than 60 years ago. Today, the firm serves as a trusted advisor, providing integrated leadership solutions that transform leaders, teams and organizations.

Heidrick & Struggles experts operate from principal business centers in North America, Latin America, Europe and Asia Pacific."
"1643569160-3072","https://builtin.com/companies/type/hr-tech-companies?page=11","Insperity","Houston, Texas","4,000 Global Employees","HR Tech","For more than 30 years, InsperityÂ® has provided human resources and business solutions that help America's best companies prosper. Click here to learn how."
"1643569164-3092","https://builtin.com/companies/type/hr-tech-companies?page=10","OnSomble","Nashville, TN","12 Global Employees","Big Data
      
        HR Tech","OnSomble is a people-driven platform for professional development, individualized learning, and competency management."
"1643569181-3177","https://builtin.com/companies/type/hr-tech-companies?page=6","Field Nation","Minneapolis, MN","1,400 Global Employees","HR Tech","Field Nation is the complete field service marketplace and project management solution that connects businesses and contingent workers. We enable companies to find, hire and pay service technicians when - and where - there is work to be done. Field Nation serves as a catalyst for growth and ensures successful collaborations in today’s rapidly changing world of work."
"1643569164-3098","https://builtin.com/companies/type/hr-tech-companies?page=10","Canopy Workforce Solutions","Atlanta, Georgia","16 Global Employees","HR Tech","Canopy Workforce Solutions is a Complete Human Resources Platform for the Skilled Workforce."
"1643569206-3280","https://builtin.com/companies/type/hr-tech-companies?page=1","WhoCo","Santa Monica, CA","29 Global Employees","HR Tech
      
        Software","Today’s hiring methods are expired. It’s time to move beyond text-heavy resumes, stale job descriptions, and painful interview practices. WhoCo is a hiring platform for modern teams. We use science and data to help companies and candidates find their match."
"1643569149-3014","https://builtin.com/companies/type/hr-tech-companies?page=14","Experience Welcome","Fully Remote","54 Global Employees","Events
      
        HR Tech
      
        Marketing Tech
      
        Software","Our mission is to create jaw-dropping experiences that empower belonging. We believe that exceptional virtual and hybrid events have the power to enable meaningful human connection, strengthen culture, and make information accessible to the masses.

We’re building a platform that makes it easier than ever to produce incredible event experiences."
"1643569192-3215","https://builtin.com/companies/type/hr-tech-companies?page=4","Lifion by ADP","New York, NY","574 Global Employees","HR Tech
      
        Software","We're building the future of HCM.

Lifion is a cloud-native Human Capital Management (HCM) solution built from the ground up to go beyond traditional approaches and provide global organizations with both the stability and agility needed to manage and adapt to a rapidly changing world at work."
"1643569160-3077","https://builtin.com/companies/type/hr-tech-companies?page=11","PeopleStrategy Inc","Edison, NJ","150 Global Employees","HR Tech","PeopleStrategy provides comprehensive HR and benefits solutions to help small businesses attract, manage and retain great people."
"1643569152-3045","https://builtin.com/companies/type/hr-tech-companies?page=13","Doherty Employer Services","Minneapolis, MN","92 Global Employees","HR Tech","Doherty Employer Services/Oasis DEG Oasis DEG, formerly known as Doherty Employer Services, was acquired by Oasis Outsourcing in 2015 and is now known as Oasis, a Paychex® Company. Oasis, a Paychex® Company is a leading Professional Employer Organization (PEO). We offer integrated, cost-effective solutions for your"
"1643569177-3154","https://builtin.com/companies/type/hr-tech-companies?page=7","Benefitfocus","5 Offices","1,200 Global Employees","HR Tech
      
        Software","Benefitfocus (NASDAQ: BNFT) unifies the entire U.S. benefits industry on a single technology platform to protect consumers'​ health, wealth and lifestyle. Our powerful cloud-based software, data-driven insights and thoughtfully-designed services, enable employers, insurance brokers and carriers to simplify the complexity of benefits administration and deliver a world-class benefits experience."
"1643569186-3198","https://builtin.com/companies/type/hr-tech-companies?page=5","Health Carousel","5 Offices","871 Global Employees","Healthtech
      
        HR Tech","Health Carousel was founded in Cincinnati, OH in 2004 with a vision to build a company that could ensure that US patients have access to qualified healthcare professionals when and where they need them. The founders developed service lines that helped US healthcare organizations address their short-term and long-term workforce challenges.  

Health Carousel is a total talent management company with a leading portfolio of healthcare staffing and workforce solutions: Health Carousel Travel Network, Health Carousel Locum Network, Health Carousel International Network, and Health Carousel Workforce Solutions. By delivering highly qualified healthcare professionals across a range of in-demand healthcare professions, as well as strategic clinical, MSP and workforce solutions, we are working to ensure every patient in the United States of America has access to a qualified healthcare professional, when and where they are needed.

In 2020, Health Carousel was recognized by Staffing Industry Analyst’s (SIA) as the 6th-fastest-growing U.S. staffing firm, the 9th largest healthcare staffing company in the nation, and was listed on the Inc. 5000 Fastest Growing Companies in America list for the fifth consecutive year."
"1643569201-3264","https://builtin.com/companies/type/hr-tech-companies?page=2","Jellyvision","Chicago, IL","285 Global Employees","Healthtech
      
        HR Tech
      
        Software","We at Jellyvision are the proud parents of ALEX, a platform that saves employees and their employer's money by making tricky decisions—like choosing and using employee benefits—less confusing and more enjoyable. The success of ALEX has exceeded our wildest work-related dreams."
"1643569201-3266","https://builtin.com/companies/type/hr-tech-companies?page=2","Spark Hire","Northbrook, IL","70 Global Employees","HR Tech
      
        Software","Spark Hire is an easy to use video interviewing platform with 5,000+ customers conducting video interviews in over 100 countries. Since launching in 2012, Spark Hire has become the fastest growing video interviewing platform. Organizations of all sizes are utilizing Spark Hire to make better hires faster than ever before."
"1643569152-3037","https://builtin.com/companies/type/hr-tech-companies?page=13","Radish App","Columbus, OH","2 Global Employees","HR Tech
      
        Information Technology
      
        Social Impact
      
        Software","Radish is an app that makes it easier to organize, engage, celebrate and make a difference in team-based cultures at work and in life."
"1643569167-3125","https://builtin.com/companies/type/hr-tech-companies?page=9","null","null","null","","null"
"1643569192-3217","https://builtin.com/companies/type/hr-tech-companies?page=4","ADP","12 Offices","64,455 Global Employees","HR Tech","Designing better ways to work through cutting-edge products, premium services and exceptional experiences that enable people to reach their full potential. HR, Talent, Time Management, Benefits and Payroll. Informed by data and designed for people."
