web-scraper-order,web-scraper-start-url,Technology,name,sector,location
"1643577115-3573","https://500.co/companies","SaaS","RolePoint","Recruiting","UK"
"1643577115-3616","https://500.co/companies","SaaS","Tranqui","Personnel / Benefits","Mexico"
"1643577115-3630","https://500.co/companies","On-demand / Delivery","Weele","College / Continuing education","Colombia"
"1643577115-3579","https://500.co/companies","O2O","SchoolAdmissions","College / Continuing education","India"
"1643577115-3637","https://500.co/companies","SaaS","WorkGenius","Personnel / Benefits","US"
"1643577115-3429","https://500.co/companies","Marketplace","Crash","Recruiting","US"
"1643577115-3516","https://500.co/companies","HR Tech","Majra","Human Resources & Recruiting","Bahrain"
"1643577115-3419","https://500.co/companies","Cloud / Content","CodeUpStart","Professional training","Australia"
"1643577115-3601","https://500.co/companies","TMT","Tapchief","Collaboration","India"
"1643577115-3387","https://500.co/companies","SaaS","Almabase","Education ERP","India"
"1643577115-3450","https://500.co/companies","SaaS","EquitySim","Recruiting","US"
"1643577115-3512","https://500.co/companies","O2O","Linguatrip","College / Continuing education","Russia"
"1643577115-3425","https://500.co/companies","Marketplace","Cotiza y Contrata","Professional services","Mexico"
"1643577115-3461","https://500.co/companies","SaaS","Get Lighthouse","Personnel / Benefits","US"
"1643577115-3501","https://500.co/companies","Marketplace","Lawtova","Legal services","US"
"1643577115-3458","https://500.co/companies","SaaS","Freckle Education","Education ERP","US"
"1643577115-3546","https://500.co/companies","SaaS","Owl.ai","Legal","US"
"1643577115-3528","https://500.co/companies","Mobile","My Child","Early childhood","India"
"1643577115-3436","https://500.co/companies","SaaS","Disco","Personnel / Benefits","US"
"1643577115-3566","https://500.co/companies","SaaS","Qwork","Recruiting","Malaysia"
"1643577115-3472","https://500.co/companies","SaaS","Happy5","Personnel / Benefits","Indonesia"
"1643577115-3553","https://500.co/companies","SaaS","Pluma","Job & Career Service","US"
"1643577115-3412","https://500.co/companies","Marketplace","ClassAction","Legal services","Japan"
"1643577115-3561","https://500.co/companies","SaaS","Qerja","Personnel / Benefits","Indonesia"
"1643577115-3469","https://500.co/companies","SaaS","GrowthTeam","Recruiting","US"
"1643577115-3536","https://500.co/companies","SaaS","Nibras.com","Professional training","UAE"
"1643577115-3439","https://500.co/companies","SaaS","Doyobi","K-12","Singapore"
"1643577115-3406","https://500.co/companies","O2O","Carelulu","Early childhood","US"
"1643577115-3388","https://500.co/companies","SaaS","Alongside","Recruiting","Canada"
"1643577115-3545","https://500.co/companies","Mobile","OpenAir Publishing","College / Continuing education","US"
"1643577115-3498","https://500.co/companies","SaaS","Konnect-I","Professional services","Egypt"
"1643577115-3621","https://500.co/companies","On-demand / Delivery","Udemy","College / Continuing education","US"
"1643577115-3397","https://500.co/companies","SaaS","Backstartup","Legal services","Colombia"
"1643577115-3416","https://500.co/companies","Mobile","Clutch Learning","College / Continuing education","US"
"1643577115-3527","https://500.co/companies","Cloud / Content","Motion Math","K-12","US"
"1643577115-3479","https://500.co/companies","Cloud / Content","I3zif","College / Continuing education","Jordan"
"1643577115-3631","https://500.co/companies","SaaS","WePow","Recruiting","UK"
"1643577115-3480","https://500.co/companies","Cloud / Content","Impulsacademy","Professional training","Mexico"
"1643577115-3403","https://500.co/companies","Cloud / Content","Brilliant","K-12","US"
"1643577115-3482","https://500.co/companies","SaaS","Inductly","Personnel / Benefits","Australia"
"1643577115-3585","https://500.co/companies","SaaS","SocialDice","Human Resources & Recruiting","Palestine"
"1643577115-3514","https://500.co/companies","Direct service","Luxr","Professional training","US"
"1643577115-3597","https://500.co/companies","Mobile","Taamkru","K-12","Thailand"
"1643577115-3543","https://500.co/companies","Mobile","OneSchool","Education ERP","US"
"1643577115-3532","https://500.co/companies","Marketplace","Nanno","Early childhood","US"
"1643577115-3600","https://500.co/companies","SaaS","Talkpush","Recruiting","Hong Kong"
"1643577115-3456","https://500.co/companies","SaaS","Firstjob.me","Recruiting","Chile"
"1643577115-3576","https://500.co/companies","Direct service","Runnable","K-12","US"
"1643577115-3464","https://500.co/companies","Marketplace","Glints","Human Resources & Recruiting","Singapore"
"1643577115-3640","https://500.co/companies","SaaS","YellowDig","College & Continuing Education","US"
"1643577115-3541","https://500.co/companies","Cloud / Content","OKpanda","College / Continuing education","Japan"
"1643577115-3402","https://500.co/companies","SaaS","Boon","Recruiting","US"
"1643577115-3619","https://500.co/companies","Cloud / Content","Tynker","K-12","US"
"1643577115-3531","https://500.co/companies","SaaS","Myu","Education ERP","Kuwait"
"1643577115-3635","https://500.co/companies","SaaS","WizerMe","Education ERP","Israel"
"1643577115-3490","https://500.co/companies","Direct service","Kharabeesh","Professional services","Jordan"
"1643577115-3399","https://500.co/companies","SaaS","BlackTies","Recruiting","US"
"1643577115-3446","https://500.co/companies","Mobile","ELSA","Professional training","US"
"1643577115-3578","https://500.co/companies","-","Schola","K-12","Vietnam"
"1643577115-3426","https://500.co/companies","SaaS","Coursebase","Professional training","Japan"
"1643577115-3398","https://500.co/companies","SaaS","BasharSoft","Recruiting","Egypt"
"1643577115-3491","https://500.co/companies","Marketplace","Kibin","College / Continuing education","US"
"1643577115-3620","https://500.co/companies","SaaS","Ubeya","Personnel / Benefits","Israel"
"1643577115-3409","https://500.co/companies","SaaS","Cirrus Identity","Education ERP","US"
"1643577115-3623","https://500.co/companies","SaaS","uNow","Education ERP","US"
"1643577115-3577","https://500.co/companies","-","Sabbar","Recruiting","Saudi Arabia"
"1643577115-3481","https://500.co/companies","SaaS","Incluyeme.com","Recruiting","Argentina"
"1643577115-3443","https://500.co/companies","SaaS","Edools","Tools & Services","Brazil"
"1643577115-3393","https://500.co/companies","On-demand / Delivery","Atrium","Legal","US"
"1643577115-3499","https://500.co/companies","Cloud / Content","Lamusiquita","College / Continuing education","Argentina"
"1643577115-3488","https://500.co/companies","SaaS","Job Pal","Human Resources & Recruiting","Germany"
"1643577115-3476","https://500.co/companies","SaaS","Holmes","Legal","Japan"
"1643577115-3413","https://500.co/companies","SaaS","Classroom.tv","Education ERP","Chile"
"1643577115-3609","https://500.co/companies","SaaS","Teleborder","Recruiting","US"
"1643577115-3560","https://500.co/companies","SaaS","Purple Squirrel","Recruiting","US"
"1643577115-3603","https://500.co/companies","Marketplace","Taskty","Professional services","Egypt"
"1643577115-3506","https://500.co/companies","SaaS","Legalese","Legal services","Singapore"
"1643577115-3615","https://500.co/companies","-","Top E","College & Continuing Education","Mexico"
"1643577115-3557","https://500.co/companies","Cloud / Content","Prolaera","Professional training","US"
"1643577115-3493","https://500.co/companies","SaaS","Kidblog","K-12","US"
"1643577115-3485","https://500.co/companies","SaaS","Ironclad","Legal","US"
"1643577115-3593","https://500.co/companies","SaaS","Supergleu","College / Continuing education","US"
"1643577115-3449","https://500.co/companies","Mobile","Enuma","Early childhood","South Korea"
"1643577115-3628","https://500.co/companies","Direct service","Vela Labs","Professional services","US"
"1643577115-3455","https://500.co/companies","Marketplace","Fastwork","Human Resources & Recruiting","Thailand"
"1643577115-3633","https://500.co/companies","Marketplace","Wholi","Recruiting","UK"
"1643577115-3599","https://500.co/companies","SaaS","Talentbase","Human Resources & Recruiting","Nigeria"
"1643577115-3610","https://500.co/companies","Mobile","The Ambition App","College / Continuing education","US"
"1643577115-3625","https://500.co/companies","SaaS","UrbanHire","Recruiting","Indonesia"
"1643577115-3434","https://500.co/companies","Mobile","Descomplica","College & Continuing Education","Brazil"
"1643577115-3607","https://500.co/companies","SaaS","Teamly","Personnel / Benefits","UK"
"1643577115-3435","https://500.co/companies","SaaS","DesignInc","Recruiting","US"
"1643577115-3492","https://500.co/companies","O2O","KidAdmit","K-12","US"
"1643577115-3550","https://500.co/companies","SaaS","Peoplise","Human Resources & Recruiting","Turkey"
"1643577115-3507","https://500.co/companies","SaaS","LEVEE","Recruiting","Brazil"
"1643577115-3460","https://500.co/companies","Direct service","Garage Coders","Professional services","Mexico"
"1643577115-3454","https://500.co/companies","On-demand / Delivery","Exploiter","Professional training","Colombia"
"1643577115-3522","https://500.co/companies","SaaS","MicroBenefits","Personnel / Benefits","China"
"1643577115-3411","https://500.co/companies","On-demand / Delivery","Clarity","Professional services","Canada"
"1643577115-3538","https://500.co/companies","Cloud / Content","NoRedInk","K-12","US"
"1643577115-3606","https://500.co/companies","-","Teamable","Recruiting","US"
"1643577115-3518","https://500.co/companies","SaaS","Mediacao Online","Legal","Brazil"
"1643577115-3626","https://500.co/companies","SaaS","VCV","Recruiting","Russia"
"1643577115-3590","https://500.co/companies","On-demand / Delivery","StudyPool","College / Continuing education","US"
"1643577115-3556","https://500.co/companies","SaaS","Presence","Education ERP","US"
"1643577115-3382","https://500.co/companies","O2O","ActivityHero","K-12","US"
"1643577115-3430","https://500.co/companies","Marketplace","Crowdplat","Professional services","US"
"1643577115-3396","https://500.co/companies","SaaS","Avatao","Professional training","Hungary"
"1643577115-3614","https://500.co/companies","SaaS","Tioki","Recruiting","US"
"1643577115-3489","https://500.co/companies","Cloud / Content","Kenzie Academy","Professional training","US"
"1643577115-3457","https://500.co/companies","On-demand / Delivery","Floqq","Professional training","Spain"
"1643577115-3508","https://500.co/companies","Marketplace","Lexoo","Legal services","UK"
"1643577115-3517","https://500.co/companies","Direct service","MakeSchool","College & Continuing Education","US"
"1643577115-3431","https://500.co/companies","Mobile","Curious Hat","K-12","US"
"1643577115-3418","https://500.co/companies","-","Coded","Professional training","Kuwait"
"1643577115-3422","https://500.co/companies","SaaS","Comparably","Personnel / Benefits","US"
"1643577115-3379","https://500.co/companies","SaaS","15Five","Personnel / Benefits","US"
"1643577115-3526","https://500.co/companies","Marketplace","Mom Trusted","Early childhood","US"
"1643577115-3523","https://500.co/companies","Mobile","Mindsnacks","K-12","US"
"1643577115-3404","https://500.co/companies","Direct service","ButtonSoup","Professional services","South Korea"
"1643577115-3544","https://500.co/companies","Cloud / Content","OnlineTyari","Job & Career Service","India"
"1643577115-3571","https://500.co/companies","SaaS","Resource","Recruiting","US"
"1643577115-3622","https://500.co/companies","On-demand / Delivery","Uguru","College / Continuing education","US"
"1643577115-3583","https://500.co/companies","Marketplace","SnapShyft","Recruiting","US"
"1643577115-3424","https://500.co/companies","SaaS","Core Labs","Professional training","US"
"1643577115-3574","https://500.co/companies","Cloud / Content","Rotadosconcursos","Professional training","Brazil"
"1643577115-3551","https://500.co/companies","On-demand / Delivery","Pixc","Professional services","Australia"
"1643577115-3467","https://500.co/companies","Marketplace","Gogohire","Recruiting","US"
"1643577115-3405","https://500.co/companies","SaaS","Capabiliti","Professional training","India"
"1643577115-3386","https://500.co/companies","SaaS","Allay","Personnel / Benefits","US"
"1643577115-3381","https://500.co/companies","On-demand / Delivery","Acadium","Job & Career Service","Canada"
"1643577115-3474","https://500.co/companies","Mobile","HighScoreHouse","K-12","Canada"
"1643577115-3394","https://500.co/companies","Mobile","AutoChilango","Legal services","Mexico"
"1643577115-3612","https://500.co/companies","Direct service","Timbuktu","Early childhood","US"
"1643577115-3497","https://500.co/companies","SaaS","KolayIK","Human Resources & Recruiting","Turkey"
"1643577115-3535","https://500.co/companies","SaaS","Next Play","Personnel / Benefits","US"
"1643577115-3618","https://500.co/companies","HR Tech","Turing","Recruiting","US"
"1643577115-3390","https://500.co/companies","SaaS","ApplyBoard","College / Continuing education","Canada"
"1643577115-3643","https://500.co/companies","SaaS","Zerply","Human Resources & Recruiting","Estonia"
"1643577115-3414","https://500.co/companies","Cloud / Content","Cloud Academy","Professional training","US"
"1643577115-3515","https://500.co/companies","Cloud / Content","Magoosh","Professional training","US"
"1643577115-3465","https://500.co/companies","SaaS","Globalwork","Recruiting","Colombia"
"1643577115-3632","https://500.co/companies","Marketplace","Wevorce","Legal services","US"
"1643577115-3401","https://500.co/companies","SaaS","Blueboard","Personnel / Benefits","US"
"1643577115-3533","https://500.co/companies","Direct service","NewCampus","Job & Career Service","Singapore"
"1643577115-3415","https://500.co/companies","Marketplace","Cloudpeeps","Professional services","US"
"1643577115-3575","https://500.co/companies","Direct service","Rumarocket","Recruiting","Philippines"
"1643577115-3558","https://500.co/companies","SaaS","ProSky","Professional training","US"
"1643577115-3638","https://500.co/companies","SaaS","Workplace Arcade","Human Resources & Recruiting","Australia"
"1643577115-3466","https://500.co/companies","SaaS","Gnowbe","Personnel / Benefits","Singapore"
"1643577115-3594","https://500.co/companies","Cloud / Content","SVAcademy","Professional training","US"
"1643577115-3617","https://500.co/companies","Marketplace","Transtutors","College / Continuing education","India"
"1643577115-3421","https://500.co/companies","SaaS","Comento","Job & Career Service","South Korea"
"1643577115-3629","https://500.co/companies","-","Vonder","Professional training","Thailand"
"1643577115-3586","https://500.co/companies","On-demand / Delivery","Speedlancer","Professional services","Australia"
"1643577115-3639","https://500.co/companies","Marketplace","YaSabe","Professional services","US"
"1643577115-3453","https://500.co/companies","SaaS","Exceptional Individuals","Recruiting","UK"
"1643577115-3636","https://500.co/companies","Marketplace","WorkAmerica","Recruiting","US"
"1643577115-3503","https://500.co/companies","Direct service","Lean Startup Machine","Professional training","US"
"1643577115-3440","https://500.co/companies","Marketplace","Dyad","College & Continuing Education","China"
"1643577115-3624","https://500.co/companies","SaaS","UpCounsel","Legal services","US"
"1643577115-3395","https://500.co/companies","SaaS","Avanoo","Job & Career Service","US"
"1643577115-3487","https://500.co/companies","-","Jaranda","K-12","South Korea"
"1643577115-3547","https://500.co/companies","Cloud / Content","Parenthoods","Early childhood","US"
"1643577115-3459","https://500.co/companies","Cloud / Content","FullStack Academy","Professional training","US"
"1643577115-3584","https://500.co/companies","Cloud / Content","Social Stork","Early childhood","Canada"
"1643577115-3391","https://500.co/companies","SaaS","Apptuto","College / Continuing education","UK"
"1643577115-3539","https://500.co/companies","On-demand / Delivery","Ntensify","Professional services","US"
"1643577115-3562","https://500.co/companies","SaaS","Quero Education","College / Continuing education","Brazil"
"1643577115-3605","https://500.co/companies","SaaS","Team Machine","Personnel / Benefits","US"
"1643577115-3634","https://500.co/companies","On-demand / Delivery","Wishup","Marketing & Sales","India"
"1643577115-3494","https://500.co/companies","Mobile","Kiko Labs","Early childhood","US"
"1643577115-3542","https://500.co/companies","Mobile","One University Networks","College / Continuing education","US"
"1643577115-3519","https://500.co/companies","SaaS","Melodics","College / Continuing education","New Zealand"
"1643577115-3452","https://500.co/companies","On-demand / Delivery","eTraining","Professional training","Mexico"
"1643577115-3525","https://500.co/companies","Cloud / Content","Miso Media","College / Continuing education","US"
"1643577115-3552","https://500.co/companies","Cloud / Content","Platzi","Professional training","US"
"1643577115-3588","https://500.co/companies","Cloud / Content","Startups.co","Professional services","US"
"1643577115-3641","https://500.co/companies","Mobile","YogoMe","K-12","Mexico"
"1643577115-3549","https://500.co/companies","-","Pencil","Education ERP","US"
"1643577115-3462","https://500.co/companies","HR Tech","Get On Board","Human Resources & Recruiting","Chile"
"1643577115-3611","https://500.co/companies","Cloud / Content","ThinkParametric","Professional training","Mexico"
"1643577115-3537","https://500.co/companies","Cloud / Content","Noodle Partners","Education ERP","US"
"1643577115-3642","https://500.co/companies","SaaS","Zenjob","Professional services","Germany"
"1643577115-3568","https://500.co/companies","Mobile","Red Cape HR Software","Personnel / Benefits","Philippines"
"1643577115-3581","https://500.co/companies","Marketplace","Skillbridge","Professional services","UK"
"1643577115-3470","https://500.co/companies","SaaS","Hacker Earth","Recruiting","India"
"1643577115-3589","https://500.co/companies","Cloud / Content","StudyEdge","College / Continuing education","US"
"1643577115-3510","https://500.co/companies","Direct service","Lingokids","K-12","Spain"
"1643577115-3427","https://500.co/companies","SaaS","CourseReport","Professional training","US"
"1643577115-3570","https://500.co/companies","Mobile","Remind","K-12","US"
"1643577115-3564","https://500.co/companies","Mobile","Quipper","K-12","UK"
"1643577115-3513","https://500.co/companies","SaaS","Linte","Legal services","Brazil"
"1643577115-3428","https://500.co/companies","Marketplace","Court Buddy","Legal services","US"
"1643577115-3565","https://500.co/companies","SaaS","Qwil","Personnel / Benefits","US"
"1643577115-3530","https://500.co/companies","SaaS","My Options","College / Continuing education","US"
"1643577115-3602","https://500.co/companies","On-demand / Delivery","Tarefa","K-12","Colombia"
"1643577115-3407","https://500.co/companies","SaaS","Chalkable","Tools & Services","US"
"1643577115-3473","https://500.co/companies","Cloud / Content","Hello English","College / Continuing education","India"
"1643577115-3445","https://500.co/companies","On-demand / Delivery","Edukart","Professional training","India"
"1643577115-3447","https://500.co/companies","SaaS","Embark Labs","Education ERP","US"
"1643577115-3502","https://500.co/companies","Marketplace","LawTrades","Legal services","US"
"1643577115-3471","https://500.co/companies","O2O","Halolife","Professional services","US"
"1643577115-3420","https://500.co/companies","On-demand / Delivery","Colingo","College / Continuing education","US"
"1643577115-3509","https://500.co/companies","On-demand / Delivery","Lexyom","Legal services","Lebanon"
"1643577115-3483","https://500.co/companies","SaaS","Internmatch","Recruiting","US"
"1643577115-3441","https://500.co/companies","Mobile","Easy Ten","College / Continuing education","Russia"
"1643577115-3495","https://500.co/companies","SaaS","Kinobi","K-12","US"
"1643577115-3478","https://500.co/companies","SaaS","HyphenMark","Human Resources & Recruiting","US"
"1643577115-3505","https://500.co/companies","SaaS","Learnmetrics","Education ERP","US"
"1643577115-3477","https://500.co/companies","SaaS","humi.ca","Personnel / Benefits","Canada"
"1643577115-3511","https://500.co/companies","Cloud / Content","Lingualeo","College / Continuing education","Russia"
"1643577115-3400","https://500.co/companies","On-demand / Delivery","Blue Studios.io","K-12","US"
"1643577115-3587","https://500.co/companies","SaaS","Springboard","College & Continuing Education","India"
"1643577115-3496","https://500.co/companies","Cloud / Content","Kodable","K-12","US"
"1643577115-3567","https://500.co/companies","Direct service","R+W","Professional services","Taiwan"
"1643577115-3484","https://500.co/companies","SaaS","IRIS AI","Education ERP","Norway"
"1643577115-3417","https://500.co/companies","Marketplace","Coach Market","Professional training","US"
"1643577115-3500","https://500.co/companies","Marketplace","Landmoda","Professional services","Colombia"
"1643577115-3534","https://500.co/companies","Direct service, Cloud / Content","NEXT Academy","Professional training","Malaysia"
"1643577115-3442","https://500.co/companies","On-demand / Delivery","EcoMom","Early childhood","US"
"1643577115-3563","https://500.co/companies","On-demand / Delivery","Quicklegal","Legal services","US"
"1643577115-3613","https://500.co/companies","O2O","Tinkergarten","K-12","US"
"1643577115-3468","https://500.co/companies","-","Greenhouse","Infrastructure","Singapore"
"1643577115-3451","https://500.co/companies","Mobile","eSpark","Education ERP","US"
"1643577115-3572","https://500.co/companies","SaaS","RippleHire","Recruiting","India"
"1643577115-3592","https://500.co/companies","Direct service","Supahands","Human Resources & Recruiting","Malaysia"
"1643577115-3529","https://500.co/companies","SaaS","My Jobs Studio","Recruiting","Mexico"
