web-scraper-order,web-scraper-start-url,Technology,name,sector,location
"1643580428-4893","https://500.co/companies","SaaS","Koska","Accounting / Audit","Japan"
"1643580428-6117","https://500.co/companies","Mobile","Videokits","Media production","US"
"1643580428-4853","https://500.co/companies","TMT, Mobile, AudioTech","Khush","Media production","US"
"1643580428-5347","https://500.co/companies","-","Phase","-","-"
"1643580428-4335","https://500.co/companies","On-demand / Delivery","Enchanted Diamonds","Fashion","US"
"1643580428-4869","https://500.co/companies","SaaS","Kinobi","K-12","US"
"1643580428-6091","https://500.co/companies","SaaS","Vantage Sports","Sports","US"
"1643580428-5558","https://500.co/companies","SaaS","RentLord","Realty / Rentals","UK"
"1643580428-4693","https://500.co/companies","Mobile","Hooked","Entertainment","US"
"1643580428-4948","https://500.co/companies","SaaS","LEVEE","Recruiting","Brazil"
"1643580428-4512","https://500.co/companies","SaaS","Gantto","Productivity","US"
"1643580428-3978","https://500.co/companies","-","Buglance","Developer tools","UAE"
"1643580428-4679","https://500.co/companies","Cloud / Content","Holor Media","Entertainment","US"
"1643580428-5812","https://500.co/companies","Marketplace","StackSocial","Marketing & Sales","US"
"1643580428-6034","https://500.co/companies","-","Trustless Networks","-","UK"
"1643580428-3924","https://500.co/companies","SaaS","BlueLeaf","CRM / Customer success","US"
"1643580428-4584","https://500.co/companies","On-demand / Delivery","Grana Group","Fashion","Hong Kong"
"1643580428-5692","https://500.co/companies","-","SiamCarDeal","Vehicle dealer","Thailand"
"1643580428-4536","https://500.co/companies","-","Getvan","-","Singapore"
"1643580428-4714","https://500.co/companies","Token","Hypernet","IT tools","US"
"1643580428-4944","https://500.co/companies","SaaS","Lendy","Lending / Investments","Japan"
"1643580428-5194","https://500.co/companies","O2O","Nextravel","Travel / Hospitality","US"
"1643580428-5677","https://500.co/companies","On-demand / Delivery","Shopeando","Consumer eCom","Mexico"
"1643580428-4355","https://500.co/companies","Direct sale, SaaS","Escavox","Supply Chain & Logistics","Australia"
"1643580428-5102","https://500.co/companies","-","Mod Snob","Fashion","US"
"1643580428-6195","https://500.co/companies","-","Whitemark","Housing & Real Estate","Vietnam"
"1643580428-4920","https://500.co/companies","Marketplace","LawTrades","Legal services","US"
"1643580428-3752","https://500.co/companies","Artificial Intelligence & Machine Learning","Ango","Data & Analytics","Turkey"
"1643580428-5532","https://500.co/companies","-","Rebaja Tus Cuentas","Financial research","Peru"
"1643580428-4613","https://500.co/companies","SaaS","GymHit","Fitness","US"
"1643580428-4300","https://500.co/companies","-","EcoCart","Climate","US"
"1643580428-3727","https://500.co/companies","Direct service","Alpharank","Data & Analytics","US"
"1643580428-4909","https://500.co/companies","Cloud / Content","Lamusiquita","College / Continuing education","Argentina"
"1643580428-3698","https://500.co/companies","SaaS","AirSeed","Financial research","US"
"1643580428-4393","https://500.co/companies","SaaS","FamilyLeaf","Social media","US"
"1643580428-4345","https://500.co/companies","On-demand / Delivery","EnvoyNow","Food","US"
"1643580428-3779","https://500.co/companies","SaaS","Arcstone","ERP","Singapore"
"1643580428-4367","https://500.co/companies","SaaS","EventXtra","Entertainment","Hong Kong"
"1643580428-5514","https://500.co/companies","Cloud / Content","Rankpeek","Consumer services","US"
"1643580428-5680","https://500.co/companies","SaaS","Shopline","IT tools","Hong Kong"
"1643580428-4327","https://500.co/companies","SaaS","Embroker","Insurance","US"
"1643580428-5204","https://500.co/companies","Direct sale","Nobal Technologies","Marketing & Sales","Canada"
"1643580428-3807","https://500.co/companies","Marketplace","Audiodraft","Media production","Finland"
"1643580428-6264","https://500.co/companies","SaaS","Zappli","Consumer services","US"
"1643580428-6036","https://500.co/companies","SaaS","Trym","Insurance","US"
"1643580428-5459","https://500.co/companies","Direct service","Prospect Bio","Biotech","Canada"
"1643580428-5573","https://500.co/companies","Mobile","Revnetics","Logistics","US"
"1643580428-4688","https://500.co/companies","On-demand / Delivery","HomeLight","Housing & Real Estate","US"
"1643580428-4210","https://500.co/companies","-","Dailies","-","-"
"1643580428-4783","https://500.co/companies","-","Invidica","-","US"
"1643580428-5873","https://500.co/companies","SaaS","Swept","ERP","Canada"
"1643580428-5236","https://500.co/companies","On-demand / Delivery","OkieLa","Logistics","Vietnam"
"1643580428-5904","https://500.co/companies","Direct service","TapHomes","Realty / Rentals","Indonesia"
"1643580428-4942","https://500.co/companies","FinTech","Lendo","-","Saudi Arabia"
"1643580428-5443","https://500.co/companies","On-demand / Delivery","Printivo","Procurement","Nigeria"
"1643580428-4821","https://500.co/companies","Mobile","Julu Mobile","Adtech / Martech","China"
"1643580428-4724","https://500.co/companies","Marketplace","IdeaMarket","Lending / Investments","US"
"1643580428-3937","https://500.co/companies","SaaS","Bookmarq","Entertainment","US"
"1643580428-3676","https://500.co/companies","Token","Acudeen","Cryptocurrency","Philippines"
"1643580428-5848","https://500.co/companies","Marketplace","StudySoup","College / Continuing education","US"
"1643580428-3783","https://500.co/companies","On-demand / Delivery","Arka","Logistics","US"
"1643580428-4275","https://500.co/companies","Mobile","DriveMeCrazy","Civictech","US"
"1643580428-5711","https://500.co/companies","Marketing Tech, Artificial Intelligence & Machine Learning, AdTech","Simplifai Labs","-","UAE"
"1643580428-5788","https://500.co/companies","SaaS","Spinnakr","Adtech / Martech","US"
"1643580428-5693","https://500.co/companies","Mobile","SiamSquared","Asset Management","Thailand"
"1643580428-6216","https://500.co/companies","SaaS","WizerMe","Education ERP","Israel"
"1643580428-4098","https://500.co/companies","SaaS","Cloud Coffer","Security","Taiwan"
"1643580428-5103","https://500.co/companies","SaaS","Modest","Collaboration","US"
"1643580428-3980","https://500.co/companies","SaaS","Built in Menlo","Social media","US"
"1643580428-5289","https://500.co/companies","SaaS","OwnLocal","Adtech / Martech","US"
"1643580428-6106","https://500.co/companies","SaaS","Versus","Consumer services","Germany"
"1643580428-5912","https://500.co/companies","SaaS","Taxjoy","Accounting / Audit","Israel"
"1643580428-5256","https://500.co/companies","SaaS","OnFarm","Agtech","US"
"1643580428-4596","https://500.co/companies","Direct sale","Grillo","Envirotech","Mexico"
"1643580428-5409","https://500.co/companies","SaaS","Polyup","K-12","US"
"1643580428-5206","https://500.co/companies","SaaS","Node.io","Market intel","US"
"1643580428-3979","https://500.co/companies","SaaS","Buildcon","Construction","Serbia"
"1643580428-6119","https://500.co/companies","SaaS","Village Defense","Civictech","US"
"1643580428-4759","https://500.co/companies","-","Innertrends","IT tools","UK"
"1643580428-4571","https://500.co/companies","Marketplace","Goodpeople","Fashion","Argentina"
"1643580428-4510","https://500.co/companies","-","Gamerjibe","-","-"
"1643580428-6025","https://500.co/companies","-","Truesource","-","-"
"1643580428-3714","https://500.co/companies","-","AllCare","-","-"
"1643580428-4175","https://500.co/companies","-","Crewdible","-","-"
"1643580428-4648","https://500.co/companies","SaaS","Hedgeye","Financial research","US"
"1643580428-4007","https://500.co/companies","Mobile","Capptalog","Adtech / Martech","Mexico"
"1643580428-4429","https://500.co/companies","SaaS","Finda","Consumer Finance","South Korea"
"1643580428-4708","https://500.co/companies","TMT, SaaS, Restaurant Technology, FoodTech","HungryHub","-","Thailand"
"1643580428-4083","https://500.co/companies","Legal Tech","Clara","-","UAE"
"1643580428-5686","https://500.co/companies","Direct sale","Shortcut Labs","Consumer eCom","Sweden"
"1643580428-4995","https://500.co/companies","SaaS","Lumanu","Marketing & Sales","US"
"1643580428-5608","https://500.co/companies","On-demand / Delivery","Saint Harridan","Fashion","US"
"1643580428-5771","https://500.co/companies","SaaS","Souqalmal","Financial research","UAE"
"1643580428-6079","https://500.co/companies","SaaS","Userpilot","Productivity","Palestine"
"1643580428-6018","https://500.co/companies","Marketplace","Trocafone","Consumer eCom","Brazil"
"1643580428-4263","https://500.co/companies","-","Doc Doc","-","Colombia"
"1643580428-5612","https://500.co/companies","SaaS","Sales MENA","Market intel","UAE"
"1643580428-3749","https://500.co/companies","Direct service","Angin","Lending / Investments","Indonesia"
"1643580428-4156","https://500.co/companies","SaaS","Core Labs","Professional training","US"
"1643580428-4171","https://500.co/companies","SaaS","Credit Stacks","Lending / Investments","US"
"1643580428-6006","https://500.co/companies","SaaS","TravelFlan","Travel / Hospitality","Hong Kong"
"1643580428-5958","https://500.co/companies","SaaS","ThinkUp","Social media","US"
"1643580428-4684","https://500.co/companies","Marketplace","Homecode","Realty / Rentals","UK"
"1643580428-3938","https://500.co/companies","SaaS","Boomerang","IT tools","US"
"1643580428-4780","https://500.co/companies","Marketing Tech, E-Commerce","Intrepid","-","Vietnam"
"1643580428-4133","https://500.co/companies","SaaS","Comparably","Personnel / Benefits","US"
"1643580428-4600","https://500.co/companies","SaaS","GroupSpaces","Collaboration","UK"
"1643580428-5255","https://500.co/companies","SaaS","OneTrueFan","Market intel","US"
"1643580428-5419","https://500.co/companies","-","Portal Educativo","-","-"
"1643580428-6165","https://500.co/companies","SaaS","Wavestack","Social media","Mexico"
"1643580428-4062","https://500.co/companies","Marketplace","Chirply","Media production","US"
"1643580428-4570","https://500.co/companies","On-demand / Delivery","Goldbelly","Home & Personal","US"
"1643580428-3661","https://500.co/companies","Marketplace","99.co","Realty / Rentals","Singapore"
"1643580428-5437","https://500.co/companies","Direct sale","Presto","Payments","US"
"1643580428-4259","https://500.co/companies","Cloud / Content","Disruption","Financial research","US"
"1643580428-4462","https://500.co/companies","On-demand / Delivery","Flycrates","Logistics","US"
"1643580428-4347","https://500.co/companies","On-demand / Delivery","Epicurio","Food","Singapore"
"1643580428-4280","https://500.co/companies","-","Drover AI","Automotive","US"
"1643580428-4895","https://500.co/companies","Mobile","Kudo","Payments","Indonesia"
"1643580428-4161","https://500.co/companies","SaaS","CourseReport","Professional training","US"
"1643580428-5191","https://500.co/companies","SaaS","NewsWhip","Market intel","Ireland"
"1643580428-6020","https://500.co/companies","On-demand / Delivery","truBrain","Fitness","US"
"1643580428-6122","https://500.co/companies","SaaS","ViralGains","Data & Analytics","US"
"1643580428-5595","https://500.co/companies","SaaS, CleanTech, Big Data, Artificial Intelligence & Machine Learning","Ruedata","-","Colombia"
"1643580428-5261","https://500.co/companies","Mobile","OpenAir Publishing","College / Continuing education","US"
"1643580428-6092","https://500.co/companies","-","Vapulus","-","Egypt"
"1643580428-4020","https://500.co/companies","O2O","Careport Health","Patient services","US"
"1643580428-6005","https://500.co/companies","SaaS","Trato","Accounting / Audit","Mexico"
"1643580428-5742","https://500.co/companies","On-demand / Delivery","Smove","Transportation Services","Singapore"
"1643580428-5655","https://500.co/companies","O2O","Set Scouter","Realty / Rentals","Canada"
"1643580428-4191","https://500.co/companies","Marketplace","CuidaMiMascota","Pets","Mexico"
"1643580428-3917","https://500.co/companies","Direct sale","Bloom this","Consumer eCom","Malaysia"
"1643580428-4112","https://500.co/companies","SaaS","Codepicnic","Developer tools","Peru"
"1643580428-5380","https://500.co/companies","On-demand / Delivery","PlateJoy","Consumer Wellness","US"
"1643580428-4999","https://500.co/companies","Direct sale","Lumotune","Adtech / Martech","Canada"
"1643580428-5455","https://500.co/companies","Mobile","Propeller Aerobotics","Aerospace / Drones","Australia"
"1643580428-5411","https://500.co/companies","Cloud / Content","Pongalo","Entertainment","US"
"1643580428-4860","https://500.co/companies","Mobile","Kiko Labs","Early childhood","US"
"1643580428-5749","https://500.co/companies","Mobile","Snips","Developer Tools","France"
"1643580428-3750","https://500.co/companies","Fund investment","Angin","External Fund","Indonesia"
"1643580428-4669","https://500.co/companies","Marketplace","HijUp","Fashion","Indonesia"
"1643580428-5301","https://500.co/companies","O2O","Pana","""Travel, Leisure & Tourism""","US"
"1643580428-4539","https://500.co/companies","SaaS","Giftcoin","Cryptocurrency","US"
"1643580428-5109","https://500.co/companies","SaaS","Moj.io","Automotive","Canada"
"1643580428-3935","https://500.co/companies","-","Bonum Coaching","-","-"
"1643580428-4985","https://500.co/companies","SaaS","LookAcross","Market intel","US"
"1643580428-4338","https://500.co/companies","Direct service","engageSPARK","IT tools","Philippines"
"1643580428-4666","https://500.co/companies","Direct service","HiGuest","Property management","UAE"
"1643580428-4368","https://500.co/companies","O2O","eVenues","Realty / Rentals","US"
"1643580428-5875","https://500.co/companies","SaaS","Switch","Recruiting","US"
"1643580428-4877","https://500.co/companies","SaaS","Knotable","Productivity","US"
"1643580428-5140","https://500.co/companies","Marketplace","Muslim Marketplace","Fashion","Indonesia"
"1643580428-4610","https://500.co/companies","SaaS","Guideline","Asset Management","US"
"1643580428-5525","https://500.co/companies","SaaS","Reachli","Media production","Canada"
"1643580428-5264","https://500.co/companies","SaaS","OpenUp","Market intel","US"
"1643580428-4407","https://500.co/companies","Marketplace","Favful","Beauty","Malaysia"
"1643580428-4089","https://500.co/companies","On-demand / Delivery","Cleanly","Home & Personal","US"
"1643580428-5666","https://500.co/companies","SaaS","Sheroes","Social","India"
"1643580428-4197","https://500.co/companies","Cloud / Content","Curio Labs","Journalism & Blogs","UK"
"1643580428-5791","https://500.co/companies","-","Spoon, Spoon Radio","Collaboration","South Korea"
"1643580428-6120","https://500.co/companies","On-demand / Delivery","Villoid","Fashion","Norway"
"1643580428-3654","https://500.co/companies","Token","37Coins","Cryptocurrency","Singapore"
"1643580428-5406","https://500.co/companies","TMT, SaaS, Industrials, FinTech, E-Commerce","PointCheckout","Adtech / Martech","UAE"
"1643580428-4391","https://500.co/companies","On-demand / Delivery","FalaFreud","Patient services","Brazil"
"1643580428-5663","https://500.co/companies","SaaS","ShareRoot","Adtech / Martech","US"
"1643580428-6273","https://500.co/companies","SaaS","Zenjob","Professional services","Germany"
"1643580428-5730","https://500.co/companies","SaaS","Skyhawk","""Travel, Leisure & Tourism""","US"
"1643580428-3863","https://500.co/companies","Mobile","Beeem","Social media","US"
"1643580428-4919","https://500.co/companies","Marketplace","Lawtova","Legal services","US"
"1643580428-4625","https://500.co/companies","FinTech","Hamsa","Payments","US"
"1643580428-4654","https://500.co/companies","Cloud / Content","HelprNow","Consumer services","Malaysia"
"1643580428-3743","https://500.co/companies","Direct sale","Andromium","Venture Studio","US"
"1643580428-5291","https://500.co/companies","Cloud / Content","Oximity","Journalism / Blogs","Germany"
"1643580428-3648","https://500.co/companies","SaaS","8sec","Gaming & eSports","France"
"1643580428-6280","https://500.co/companies","SaaS, FinTech, Cryptocurrency/Blockchain","Zeuss","Financial infrastructure","US"
"1643580428-5344","https://500.co/companies","SaaS","Periscope","Productivity","US"
"1643580428-4661","https://500.co/companies","SaaS","Heyo","Adtech / Martech","US"
"1643580428-4167","https://500.co/companies","Direct sale","Crave","Consumer eCom","US"
"1643580428-3655","https://500.co/companies","SaaS","42","Market intel","Canada, US"
"1643580428-5197","https://500.co/companies","SaaS","Nibras.com","Professional training","UAE"
"1643580428-4630","https://500.co/companies","SaaS","Happy5","Personnel / Benefits","Indonesia"
"1643580428-4059","https://500.co/companies","SaaS","ChinaNetCloud","IT tools","China"
"1643580428-5447","https://500.co/companies","SaaS","ProductBio","Logistics","US"
"1643580428-4001","https://500.co/companies","SaaS","Campanja","Adtech / Martech","Sweden"
"1643580428-3912","https://500.co/companies","On-demand / Delivery","Blissmo","Food","US"
"1643580428-3669","https://500.co/companies","SaaS","Abound","Financial infrastructure","US"
"1643580428-4718","https://500.co/companies","Mobile","iBaht","Payments","Thailand"
"1643580428-4886","https://500.co/companies","Cloud / Content","Kollabora","Social media","US"
"1643580428-5441","https://500.co/companies","SaaS","Primeloop","Adtech / Martech","US"
"1643580428-5254","https://500.co/companies","On-demand / Delivery","OneStockHome","Construction","Thailand"
"1643580428-5619","https://500.co/companies","SaaS","Sarwa","Asset Management","UAE"
"1643580428-5901","https://500.co/companies","SaaS","Tapastic","Entertainment","South Korea"
"1643580428-6039","https://500.co/companies","SaaS","Turnstyle","Adtech / Martech","Canada"
"1643580428-6259","https://500.co/companies","SaaS","Youplus","Social","India"
"1643580428-5653","https://500.co/companies","Token","SericaPay","Payments","US"
"1643580428-5372","https://500.co/companies","-","Pixyalbum","Media production","Mexico"
"1643580428-5828","https://500.co/companies","SaaS","Storehub","Tools & Services","Malaysia"
"1643580428-5855","https://500.co/companies","Mobile","StylHunt","Fashion","Singapore"
"1643580428-6096","https://500.co/companies","SaaS","VCV","Recruiting","Russia"
"1643580428-3799","https://500.co/companies","Direct service","Atomionics","Aerospace / Drones","Singapore"
"1643580428-5358","https://500.co/companies","Mobile","Piggipo","Accounting / Audit","Thailand"
"1643580428-4673","https://500.co/companies","SaaS","HireArt","Recruiting","US"
"1643580428-5444","https://500.co/companies","SaaS","Privy","Data & Analytics","US"
"1643580428-5381","https://500.co/companies","Cloud / Content","Platzi","Professional training","US"
"1643580428-4117","https://500.co/companies","Cloud / Content","Coindesk Limited","Financial research","UK"
"1643580428-5220","https://500.co/companies","Marketplace","Nuperty","Realty / Rentals","Spain"
"1643580428-4215","https://500.co/companies","SaaS","Dakwak","Language and Translation services","Jordan"
"1643580428-4641","https://500.co/companies","O2O","HeadOut","Travel / Hospitality","India"
"1643580428-4022","https://500.co/companies","SaaS, Direct service","Carnot","Energy","Singapore"
"1643580428-4885","https://500.co/companies","SaaS","KolayIK","Human Resources & Recruiting","Turkey"
"1643580428-4211","https://500.co/companies","Marketplace","Daily Aisle","Home & Personal","US"
"1643580428-5915","https://500.co/companies","SaaS","Team Machine","Personnel / Benefits","US"
"1643580428-5232","https://500.co/companies","On-demand / Delivery","OFI Limited","Procurement","Colombia"
"1643580428-4719","https://500.co/companies","Mobile","iBillionaire","Financial research","US"
"1643580428-5467","https://500.co/companies","Marketplace","Publishizer","Media production","US"
"1643580428-5804","https://500.co/companies","SaaS","Sqoop","Journalism / Blogs","US"
"1643580428-3658","https://500.co/companies","SaaS","64 Pixels","Social media","US"
"1643580428-5706","https://500.co/companies","O2O","Simmr","Food","US"
"1643580428-4529","https://500.co/companies","Artificial Intelligence & Machine Learning","Gesund","Healthcare Services & Telehealth","US"
"1643580428-6249","https://500.co/companies","SaaS","Ycontent","Market intel","Brazil"
"1643580428-5298","https://500.co/companies","Mobile","Paidy","Payments","Japan"
"1643580428-6055","https://500.co/companies","Direct service","Una Brands","Consumer eCom","Singapore"
"1643580428-4459","https://500.co/companies","E-Commerce","Floward","Consumer eCom","Kuwait"
"1643580428-4478","https://500.co/companies","-","Foundation Mobile","-","Brazil"
"1643580428-3996","https://500.co/companies","SaaS","Cadence","Language and Translation services","US"
"1643580428-4935","https://500.co/companies","SaaS","Ledger Investing","Lending / Investments","US"
"1643580428-4617","https://500.co/companies","SaaS","Habit Labs","Medical advice","US"
"1643580428-5219","https://500.co/companies","SaaS","Numina","Govtech","US"
"1643580428-4277","https://500.co/companies","SaaS","Drivio","Govtech","US"
"1643580428-4872","https://500.co/companies","On-demand / Delivery","KiteReaders","Media production","US"
"1643580428-4576","https://500.co/companies","SaaS","Govlist","Government & Smart Cities","US"
"1643580428-6073","https://500.co/companies","SaaS","UrbanHire","Recruiting","Indonesia"
"1643580428-4680","https://500.co/companies","SaaS","Hom.ma","Property management","US"
"1643580428-4998","https://500.co/companies","-","Lumio","Lending / Investments","Mexico"
"1643580428-4336","https://500.co/companies","SaaS","Encore Alert","Market intel","US"
"1643580428-4128","https://500.co/companies","Direct service","Common","Realty / Rentals","US"
"1643580428-5362","https://500.co/companies","SaaS","PingPad","Collaboration","US"
"1643580428-5005","https://500.co/companies","SaaS","MaestroConference","Developer Tools","US"
"1643580428-5942","https://500.co/companies","Marketplace","The Atlas Marketplace","Government & Smart Cities","US"
"1643580428-5171","https://500.co/companies","Industrials","Nawah Scientific","Medical Research","Egypt"
"1643580428-5867","https://500.co/companies","O2O","Surefield","Realty / Rentals","US"
"1643580428-6031","https://500.co/companies","Cloud / Content","TrustedCompany","Consumer services","Malaysia"
"1643580428-3904","https://500.co/companies","SaaS","Blackcart","Payments","Canada"
"1643580428-5491","https://500.co/companies","SaaS","QueroQuitar","Lending / Investments","Brazil"
"1643580428-4028","https://500.co/companies","SaaS","Cashboard","Lending / Investments","Germany"
"1643580428-5827","https://500.co/companies","O2O","Storefront","Housing & Real Estate","US"
"1643580428-5465","https://500.co/companies","On-demand / Delivery","Public Goods","Beauty","US"
"1643580428-5321","https://500.co/companies","SaaS","Partnered","CRM / Customer success","US"
"1643580428-3667","https://500.co/companies","On-demand / Delivery","Abbeypost","Fashion","US"
"1643580428-4369","https://500.co/companies","SaaS","EverBill","Procurement","Austria"
"1643580428-4281","https://500.co/companies","Mobile","Drumbi","CRM / Customer success","US"
"1643580428-4940","https://500.co/companies","SaaS","Legitmix","Media production","Canada"
"1643580428-5669","https://500.co/companies","HR Tech, Artificial Intelligence & Machine Learning","Shiftling Holding","-","UAE"
"1643580428-5628","https://500.co/companies","Marketplace","Scopio","Media Content","US"
"1643580428-4865","https://500.co/companies","Cloud / Content","Kindara","Health monitoring","US"
"1643580428-6163","https://500.co/companies","On-demand / Delivery","Wanderu","Travel / Hospitality","US"
"1643580428-6030","https://500.co/companies","SaaS","Trusted Insight","Lending / Investments","US"
"1643580428-3928","https://500.co/companies","Marketplace","Boatbound","Ridesharing / Vehicle rental","US, US, US"
"1643580428-5425","https://500.co/companies","O2O","Powercore","Professional services","US"
"1643580428-5230","https://500.co/companies","-","Odiggo","-","-"
"1643580428-5758","https://500.co/companies","SaaS","SocialTools","Adtech / Martech","Argentina"
"1643580428-6026","https://500.co/companies","On-demand / Delivery","TruKKer","Supply Chain & Logistics","UAE"
"1643580428-5639","https://500.co/companies","-","SeeMexico","-","Mexico"
"1643580428-6253","https://500.co/companies","Cloud / Content","YoAmo Media","Fashion","Mexico"
"1643580428-4045","https://500.co/companies","SaaS","Charlie","Personnel / Benefits","UK"
"1643580428-4563","https://500.co/companies","FinTech","Go Rise","-","UAE"
"1643580428-4245","https://500.co/companies","SaaS","DesignInc","Recruiting","US"
"1643580428-4774","https://500.co/companies","Mobile","Interact.io","CRM / Customer success","Germany"
"1643580428-4312","https://500.co/companies","Direct service","Eko","Collaboration","Thailand"
"1643580428-5024","https://500.co/companies","On-demand / Delivery","Manicube","Beauty","US"
"1643580428-5164","https://500.co/companies","SaaS","Myu","Education ERP","Kuwait"
"1643580428-4190","https://500.co/companies","SaaS","CucumberTown","Food","India"
"1643580428-4318","https://500.co/companies","SaaS","Element Ai","Productivity","Canada"
"1643580428-6076","https://500.co/companies","On-demand / Delivery","Urjakart","Property management","India"
"1643580428-4723","https://500.co/companies","Marketplace","Idealists","Adtech / Martech","US"
"1643580428-4992","https://500.co/companies","SaaS","LoyaltyRefunds","CRM / Customer success","Mexico"
"1643580428-5424","https://500.co/companies","SaaS","PostRocket","Market intel","US"
"1643580428-4809","https://500.co/companies","SaaS","Jexy","Developer tools","US"
"1643580428-5124","https://500.co/companies","On-demand / Delivery","MORI","Children / Toys","UK"
"1643580428-4561","https://500.co/companies","Cloud / Content, Direct service","GMEDES","Healthcare Services & Telehealth","Singapore"
"1643580428-3706","https://500.co/companies","On-demand / Delivery","Alex & Von","Beauty","US"
"1643580428-5050","https://500.co/companies","On-demand / Delivery","Mejuri","Fashion","Canada"
"1643580428-4722","https://500.co/companies","SaaS","ICS","Credit & Lending","Singapore"
"1643580428-5974","https://500.co/companies","SaaS","Top Doctors","Healthcare ERP","Thailand"
"1643580428-3966","https://500.co/companies","Cloud / Content","BrightNest","Property management","US"
"1643580428-5079","https://500.co/companies","-","MightyFly","-","US"
"1643580428-4553","https://500.co/companies","Direct service","Glife","Food","Singapore"
"1643580428-4373","https://500.co/companies","SaaS","Evreka","Envirotech","Turkey"
"1643580428-4037","https://500.co/companies","Marketplace","CentralMayoreo","Procurement","Mexico"
"1643580428-3746","https://500.co/companies","Direct sale","Angel Sensor","Health monitoring","Israel"
"1643580428-4326","https://500.co/companies","SaaS","Embark Labs","Education ERP","US"
"1643580428-4573","https://500.co/companies","Marketplace","GoPillar","Property management","Italy"
"1643580428-3969","https://500.co/companies","-","Brimore","Consumer eCom","Egypt"
"1643580428-4135","https://500.co/companies","SaaS","Compute Software","IT tools","Indonesia"
"1643580428-5008","https://500.co/companies","SaaS","Magnetis","Financial research","Brazil"
"1643580428-3907","https://500.co/companies","FinTech","Blend Financial","-","US"
"1643580428-4030","https://500.co/companies","-","Catch Fashion","Fashion","South Korea"
"1643580428-4785","https://500.co/companies","-","Invygo","Ridesharing / Vehicle rental","UAE"
"1643580428-5466","https://500.co/companies","SaaS","PublikDemand","Civictech","US"
"1643580428-6035","https://500.co/companies","EdTech","Trybu","K-12","Mexico"
"1643580428-3798","https://500.co/companies","SaaS","Atexto","Developer tools","Mexico"
"1643580428-5609","https://500.co/companies","SaaS","Sajilni","Events","Jordan"
"1643580428-4244","https://500.co/companies","Cloud / Content","Desde el Ring","Sports","Mexico"
"1643580428-5200","https://500.co/companies","Direct sale","NinjaBlocks","Property management","Australia"
"1643580428-4288","https://500.co/companies","Wearables & Quantified Self, Digital Health","Earable","-","US"
"1643580428-4716","https://500.co/companies","-","HYVE","Social","US"
"1643580428-3801","https://500.co/companies","Cloud / Content, Direct service","AtomX","Adtech / Martech","Malaysia"
"1643580428-3664","https://500.co/companies","Mobile","AA Audience","Financial infrastructure","US"
"1643580428-5996","https://500.co/companies","-","TradingFoe Holdings","-","Singapore"
